identifier,pop_IMD_1,pop_IMD_2,pop_IMD_3,pop_IMD_4,pop_IMD_5,pop_IMD_6,pop_IMD_7,pop_IMD_8,pop_IMD_9,pop_IMD_10,total_estimate_pop
03123dc9d1,0,32.4195921,128.1188932,0,1765,1465,1948,11247.16749,9032.228135,3108.521086,28726.4552
317507124,0,0,0,0,0,0,1266.371342,0,0,0,1266.371342
031e228cf9,0,0,0,0,0,1489.490511,2359.181009,1591.555804,450.3752185,826.7502106,6717.352753
0329ebdb4b,2912,4503,2459,4620,8736,13167.24034,1280.662531,11012.62837,15271.74875,42701.78372,106664.0637
032a416e79,0,0,0,0,0,0,81.80341744,0,0,0,81.80341744
0338f23e70,0,0,0,0,0,0,0,476.6943053,0,0,476.6943053
339424638,0,0,0,0,0,0,796.4525166,0,0,0,796.4525166
0340b3c3c4,1450,4456,3028.491032,4745.189547,4472.670377,1.217391506,0,1693.235221,1172.826613,26.22649439,21045.85668
034de6cd3b,0,3069,4950,5643.150259,19.15567723,2326.981733,0,0,0,0,16008.28767
035d5bca5e,0,0,0,0,0,0,93.42549115,0,0,0,93.42549115
0376a13333,0,0,0,0,0,342.7785772,0,0,0,0,342.7785772
0377318e0c,0,0,0,0,0,0,0,752.4284004,0,0,752.4284004
0378f1b20c,0,0,0,0,0,1667.205605,234.204488,1198.646423,1126.644315,16.29408224,4242.994913
037e655081,0,0,0,0,1397,1131.665447,0,0,1727,1851,6106.665447
03936a4ab8,0,0,0,0,0,1670.452396,0,0,0,0,1670.452396
039921e85e,0,1627.999999,0,0,3986.823374,1.157977481,4790.389912,0,0,0,10406.37126
03b21e5d9b,0,0,55.18009913,0,0,0,0,0,0,0,55.18009913
03b775b513,0,0,0,0,1804.098938,0,1497,1272,3773.056236,17360.78412,25706.9393
03bc87c3d1,0,0,0,0,0,0,0,42.54273712,0,0,42.54273712
03c6fc4b78,0,1588,0,0,278.9299403,0,522.9654397,1966,3062,5093,12510.89538
03d0189afa,0,0,0,986.1301078,0,0,0,0,0,0,986.1301078
03da963e45,0,0,0,27.23648109,0,0,0,0,0,0,27.23648109
03dbb6966d,0,0,0,0,0,0,0.137802333,8.937736024,0,0,9.075538357
03f70510b8,0,0,1018,256.8709737,0,0,0,0,0,0,1274.870974
043955fd4d,0,0,0,0,0,0,0,446.7221944,0,1730,2176.722194
043c72c989,0,0,0,0,0,26.07291477,0,0,0,0,26.07291477
04466bb0a9,0,0,0,313.1002686,0,0,0,0,0,0,313.1002686
0454d55040,0,0,0,0,0,0,24.6697587,0,0,0,24.6697587
045c479e43,0,0,0,0,0,9.852643817,0,0,0,0,9.852643817
04766d9ca6,0,0,0,485.4906442,0,0,0,0,0,0,485.4906442
04882f2846,0,0,0,22.37021511,0,0,0,0,0,0,22.37021511
04963278ec,0,0,0,0,0,0,1366.472601,1523,0,0,2889.472601
04a2d621cd,131.7787921,2003.664796,1915.958241,833.8030748,76.10343337,0,2877.850926,2987.321444,7254.360528,3604.160602,21685.00184
04ada1c22c,0,0,0,0,1350.350565,93.51186787,0,0,0,0,1443.862433
04afd123d9,0,0,0,1436.527534,1346.077632,911.2757956,175.5462472,0,0,0,3869.427209
04b475b119,0,1358,0,1437.87885,0,0,0,0,0,0,2795.87885
04b586c3af,0,0,0,0,0,0,38.69206048,0,0,0,38.69206048
04c86991e3,0,0,0,0,0,448.0647464,0,0,0,0,448.0647464
04d1b321b0,0,0,0,0,0,0,0,420.2777575,0,0,420.2777575
04e1c059d5,0,0,0,0,77.22164785,318.0974536,0,0,0,0,395.3191015
04f0c9f4a4,0,0,0,0,26.51833727,0,0,0,0,0,26.51833727
04fb9bdcd2,0,0,15.60075499,0,2624.441421,0,0,0,0,0,2640.042176
05037332f0,0,0,0,0,0,0,0,446.3570643,0,0,446.3570643
0550c1a0cf,0,0,0,0,0,0,0,572.7043173,0,0,572.7043173
05511d5046,4396,7989.330509,12668,8600.451914,21275.28468,15141.06753,10237.04529,7854,6761.253894,25518.9447,120441.3785
055730ec91,0,0,0,0,128.6294,0,0,0,0,0,128.6294
0560089aec,0,0,1614,1489.580035,0,2045.866446,1379.390034,6284.181932,2190,12311,27314.01845
056f089a77,0,0,0,1030.92822,0,0,452.7965832,0,0,0,1483.724804
056f47c073,0,0,0,0,0,0,51.04012033,0,0,0,51.04012033
0578f6a77f,0,1548,0,0,0,610.8076444,114.7036759,0,12074.83483,13897.50051,28245.84666
058b836c57,0,0,0,604.0436792,0,0,0,0,0,0,604.0436792
058be1bed8,0,24.98171776,0,0,0,0,0,0,0,0,24.98171776
05a8234065,0,3131,6024,2887,1680,1493.027366,3383,4189,5361,1524,29672.02737
05cb986f81,0,0,0,0,0,0,1.467867911,0,0,0,1.467867911
05df1460c9,0,0,1316,2142,4138.088411,0,1641,0,0,6249,15486.08841
06181fe525,0,0,0,1320,0,78.30493779,0,94.54040689,0,0,1492.845345
630938416,0,0,0,0,0,0,1110.725743,0,0,0,1110.725743
06529172d5,0,0,0,0,1089.412685,0,0,0,0,0,1089.412685
0652cd780f,0,0,0,0,0,0,1678,872.5517499,0,0,2550.55175
0657e4f9b6,0,0,0,1758.589471,0,0,0,0,0,0,1758.589471
067b78272d,0,6.875459031,0,0,0,0,0,0,0,0,6.875459031
068f3dd0ac,0,0,0,0,44.73476929,0,0,0,0,0,44.73476929
06927e03be,0,0,0,0,0,1688.954381,0,0,0,0,1688.954381
06d5b39467,0,0,0,0,1657.35884,0,0,0,0,0,1657.35884
06e395f87c,0,0,0,0,0,0,0,456.3741239,0,0,456.3741239
06f4f062b8,0,0,0,0,0,0,0,1593.4986,0,0,1593.4986
06fdf4623f,0,0,0,0,0,0,0,0,0,166.1514387,166.1514387
06ff5d21cd,0,0,0,0,0,623.1459025,0,0,0,0,623.1459025
707530112,0,0,0,27.9800844,0,0,0,0,0,0,27.9800844
070bc01439,4574,13059,3135,10819.55076,7153.904892,5917,2902.441507,2785.807403,1586,2844,54776.70456
0717d702b7,0,0,0,0,270.3147177,0,0,0,0,0,270.3147177
071b3241a6,0,0,0,0,0,0,0,68.4501745,0,0,68.4501745
072bcf0207,0,0,0,0,0,0,652.3356967,0,0,0,652.3356967
073f9cbab5,0,0,0,0,0,37.77221951,0,0,0,0,37.77221951
0748006b95,0,0,1435,2308.207136,0,0,1884,1806,0,0,7433.207136
07579061f5,0,0,0,0,1517.349194,0,0,0,0,0,1517.349194
075cd29dc5,0,0,0,162.9716355,0,0,0,0,0,0,162.9716355
0760e55f90,0,0,0,0,0,0,32.33738135,0,0,0,32.33738135
0773805a99,0,0,0,0,0,0,0,125.0491223,0,0,125.0491223
07748a6c0a,0,0,0,0,0,5.194464681,0,0,0,0,5.194464681
077bd02e2e,0,0,0,707.472499,0,0,0,0,0,0,707.472499
079a2e1e74,0,0,0,0,0,0,537.3960994,1601,0,0,2138.396099
07aaf7c864,0,0,0,0,0,21.08254635,40.16576907,0,0,0,61.24831542
07b4637912,0,0,7.317741183,607.1583996,0,0,0,0,0,0,614.4761408
07baca4fe8,0,0,0,3310,13.23828622,0,0,0,0,0,3323.238286
07bfce149c,0,0,0,0,684.8515389,2129.452258,0,1521,0,0,4335.303797
07c777135e,0,0,2133.490322,0.797583593,0,0,0,0,0,0,2134.287906
07ce6cd2f0,0,0,0,0,0,0,0,0,95.11793173,0,95.11793173
08000b1bbc,0,0,0,0,0,2260.610543,1175.941572,1638,0,6481,11555.55212
080884d962,0,0,0,0,3.179965594,0,931.232692,0,0,0,934.4126576
081872dd46,0,0,0,0,0,0.909426997,2170.261063,0,1813,0,3984.17049
08267d22e0,3283,2157.790928,1972.930499,3296.932363,5531.939527,0,1326.624791,0.090711183,9.445692091,0,17578.75451
0839c2048f,0,0,0,1138.635286,0,0,0,0,0,0,1138.635286
083b8b2661,0,0,0,0,1147.706768,0,6.56040615,0,0,0,1154.267174
08479f3a3d,0,0,0,0,0,0,274.9552757,0,0,0,274.9552757
08573c6764,9909,15382,8122.610358,32322.4595,17605.59581,19671.9562,19135.55902,17205.00426,16573.67171,7175,163102.8569
08609df55c,0,0,0,792.1029569,0,0,0,0,0,0,792.1029569
086456535c,0,0,4809,5585.823945,0,0,0,0,0,0,10394.82394
0883a68bfb,0,0,0,0,41.00452664,0,0,0,0,0,41.00452664
08861035f7,0,0,0,239.2139179,0,0,0,0,0,0,239.2139179
089dba7346,0,0,0,0,0,1786.256132,0,0.011577862,0,0,1786.26771
08ae4fb237,0,790.7981161,0,0,1528.112577,0,0,0,0,0,2318.910693
08b3463d1d,0,0,0,6439.031982,1521.02466,3386.216515,0,0,0,0,11346.27316
08bb8694b1,0,0,0,0,1859.007447,1105.538981,0,0,0,0,2964.546428
08bd5faeb9,0,0,0,151.4860715,0,0,0,0,0,0,151.4860715
08c1fb2bb8,0,0,0,0,0,0,0,0,1775.793851,1304,3079.793851
08c853ded7,0,0,0,0,244.1348164,0,0,0,0,0,244.1348164
08e33c19bc,0,0,0,1574,0,0,0,0,0,0,1574
08f0c8129d,0,0,0,0,0,0,509.9327924,404.7538646,0,0,914.686657
0922a18f56,0,0,0,133.262046,0,0,0,0,0,0,133.262046
092a8dd541,0,0,0,0,0,0,7.150471161,0,0,0,7.150471161
9.30E+08,0,0,0,0,506.9536665,0,0,0,0,0,506.9536665
093c683be9,0,2811,1519,120.5042729,2.880827198,6077.445318,3577.161079,7937,3363,8559,33966.9915
09455230b0,0,0,0,0,0,0,0,0,545.8971315,0,545.8971315
09496581a0,0,0,0,0,0,0,0,981.6481926,0,0,981.6481926
0959ff4442,0,0,0,0,0,0,479.5278342,0,0,0,479.5278342
969897821,0,0,0,0,0,35.1317644,0,215.8281329,1501.127192,13510.19326,15262.28035
096df5f043,0,0,0,0,0,0,3.643059453,0,0,0,3.643059453
09740fdb1f,0,0,0,0,0,0,4.818252125,0,0,0,4.818252125
097b570dd2,0,0,0,674.3301319,0,0,0,0,0,0,674.3301319
098a454003,0,0,0,0,0,0,200.7496449,0,0,0,200.7496449
098de8be87,0,0,0,0,0,0,1592.97829,0,4.316132113,0,1597.294422
09c80334f9,0,0,0,0,0,0,781.7503215,0,0,0,781.7503215
09c8b7bb38,0,0,0,28.63841232,0,0,0,0,0,0,28.63841232
09d3269a3b,0,0,0,0,0,0,0,1551.17406,0,0,1551.17406
09d77d5602,0,0,0,0,0,0,0,0,0,456.5813937,456.5813937
09d7a25b56,0,0,0,450.4974899,0,0,0,0,0,0,450.4974899
09e58cb631,0,0,1534.942142,0,0,1474.560094,2873.713809,3779.876078,1287,8800,19750.09212
09ef00bb89,0,0,0,0,0,85.29594569,0,0,0,0,85.29594569
09ef61f60a,0,0,0,0,0,67.78638465,0,0,0,0,67.78638465
09f9939259,0,0,0,0,0,0,481.0408969,0,443.2194582,756.8881509,1681.148506
09fc14ab06,0,0,0,341.2331726,0,0,0,0,0,0,341.2331726
09ff57cd69,0,0,0,0,7.141542326,0,0,0,0,0,7.141542326
0a00dc319a,0,0,0.66169304,11.69591156,0,0,0,0,0,0,12.3576046
0a1256774c,0,0,0,0,74.36950441,0,0,0,0,0,74.36950441
0a23f0874b,0,0,0,0,0,0,815.469931,0,0,0,815.469931
0a3779150e,0,0,0,655.0309769,0,0,0,0,0,0,655.0309769
0a3df2353b,0,0,0,0,41.50292468,0,0,0,0,0,41.50292468
0a51af42e5,0,0,0,0,0,747.7909131,0,0,0,0,747.7909131
0a5f2a143b,0,0,0,0,0,0.225580334,29.58727069,0,0,0,29.81285103
0a6c625491,0,0,0,16.78189921,0,0,0,0,0,0,16.78189921
0a781b161a,0,330.1968619,0,0,0,6.717038312,0,0,0,0,336.9139002
0a79b8078d,0,0,0,0,0,1532.745905,0,0,0,0,1532.745905
0a867a4a3e,2588.131797,0,2164,7819.950149,4475.752874,4268.692306,156.080067,2819,3654,6340,34285.60719
0a88ad0cfd,0,0,0,0,0,459.3412388,0,0,0,0,459.3412388
0a8b703507,0,0,0,0,0,1749.008942,994.8604972,0,0,0,2743.869439
0a8d15227b,0,0,0,0,0,103.7169953,0,0,0,0,103.7169953
0a9270b0ca,0,0,0,0,0,1545.500254,0,0,0,0,1545.500254
0a9f1fe253,0,0,0,0,0,0,213.6832882,0,0,0,213.6832882
0aa4a80c4d,0,0,0,0,0,0,591.2057009,0,0,1483,2074.205701
0aa5780893,1127.697453,1988,1446,0,2213.817787,169.2222084,4852.669616,913.5742043,0,0,12710.98127
0ab78e38e9,0,0,0,111.9787942,0,0,0,0,0,0,111.9787942
0ac298e9e2,0,0,0,0,0,0,0,0,110.2016802,0,110.2016802
