identifier,LSOA11CD,intersection_area
5b6ff892f6,E01003513,152709.71486156952
5b6ff892f6,E01003479,146495.65272037248
5b6ff892f6,E01003514,124116.7192587228
5b6ff892f6,E01003512,130393.60945857134
5b6ff892f6,E01003517,206307.31206214282
5b6ff892f6,E01003487,95648.0301133119
5b6ff892f6,E01003519,61116.702393747764
5b6ff892f6,E01004253,126158.53948849524
5b6ff892f6,E01004244,135171.9034186759
5b6ff892f6,E01004247,114797.2758571629
5b6ff892f6,E01004252,133520.34001808582
5b6ff892f6,E01004243,114303.15817288129
5b6ff892f6,E01004251,104610.26204506884
5b6ff892f6,E01033585,256481.9719499098
5b6ff892f6,E01004245,147606.55431426218
5b6ff892f6,E01003511,92559.10303071555
5b6ff892f6,E01004273,141380.13959554106
5b6ff892f6,E01003486,207102.12044842236
5b6ff892f6,E01003485,151722.5489832781
5b6ff892f6,E01003518,127985.44189843672
5b6ff892f6,E01003516,125906.95326133174
5b6ff892f6,E01003482,1423083.3352917712
5b6ff892f6,E01003508,129970.8714671418
5b6ff892f6,E01003484,96804.43642762967
5b6ff892f6,E01003483,107887.77992041793
5b6ff892f6,E01003509,102466.93409353857
5b6ff892f6,E01003604,140653.87851636103
5b6ff892f6,E01004250,95230.77967514051
5b6ff892f6,E01004246,188764.7616226343
5b6ff892f6,E01004249,155689.2352341233
5b6ff892f6,E01004272,92465.71423781845
5b6ff892f6,E01003503,137464.15538705135
5b6ff892f6,E01004271,85231.87774867489
5b6ff892f6,E01004242,187401.51370384608
5b6ff892f6,E01003497,548197.3942436697
5b6ff892f6,E01003502,153675.4557530172
5b6ff892f6,E01004248,96023.55035163989
5b6ff892f6,E01000092,1097628.9701471527
5b6ff892f6,E01000094,196025.55750823938
5b6ff892f6,E01000095,328594.13641821814
5b6ff892f6,E01004241,91027.7437990073
5b6ff892f6,E01004270,244681.514627434
5b6ff892f6,E01003501,156156.33589100334
5b6ff892f6,E01004240,71181.72237785168
5b6ff892f6,E01004239,83890.77648329566
5b6ff892f6,E01004269,126259.27578375809
5b6ff892f6,E01004267,130274.44908524187
5b6ff892f6,E01004238,293929.0825552095
5b6ff892f6,E01003500,458912.5027462758
5b6ff892f6,E01004268,51141.96149838413
5b6ff892f6,E01003507,146255.61462106803
5b6ff892f6,E01003541,124135.54324143013
5b6ff892f6,E01003540,137764.25726711607
5b6ff892f6,E01003601,234455.86198680557
5b6ff892f6,E01003539,161921.129980192
5b6ff892f6,E01003499,169673.0040990283
5b6ff892f6,E01003603,130069.48657970753
5b6ff892f6,E01003538,118958.6768799719
5b6ff892f6,E01003602,105961.66905865884
5b6ff892f6,E01003536,106351.36343337198
5b6ff892f6,E01032787,102507.94014199918
5b6ff892f6,E01004313,80334.773546858
5b6ff892f6,E01004312,68833.1346468498
5b6ff892f6,E01004232,147047.5936411047
5b6ff892f6,E01004259,123812.37331004858
5b6ff892f6,E01004203,100683.94055166136
5b6ff892f6,E01004260,61913.38851900519
5b6ff892f6,E01032785,40820.648132132235
5b6ff892f6,E01004204,84094.45237613804
5b6ff892f6,E01004314,77078.64756642502
5b6ff892f6,E01001938,92728.983255851
5b6ff892f6,E01001916,173731.09781956364
5b6ff892f6,E01001934,172776.16684037473
5b6ff892f6,E01032788,114937.20418097409
5b6ff892f6,E01001915,206746.08513386824
5b6ff892f6,E01001907,68290.72241465047
5b6ff892f6,E01001937,119719.52740557081
5b6ff892f6,E01032790,37060.43206610804
5b6ff892f6,E01001926,90563.46395187064
5b6ff892f6,E01001952,94370.96660205869
5b6ff892f6,E01001935,106618.62700318445
5b6ff892f6,E01001925,141252.1655555421
5b6ff892f6,E01001951,99082.86292336269
5b6ff892f6,E01032789,22198.370925389318
5b6ff892f6,E01001924,96657.29303372129
5b6ff892f6,E01001948,102096.66107694579
5b6ff892f6,E01001922,131362.40925415896
5b6ff892f6,E01001939,287895.69026078825
5b6ff892f6,E01001949,82410.28699470255
5b6ff892f6,E01001923,111560.23658868272
5b6ff892f6,E01001950,104459.82750381541
5b6ff892f6,E01001947,52027.368931547084
5b6ff892f6,E01001901,83179.33255279221
5b6ff892f6,E01001921,101326.12498764934
5b6ff892f6,E01001953,85833.83951789328
5b6ff892f6,E01002841,103406.528853443
5b6ff892f6,E01001906,61070.446664590774
5b6ff892f6,E01001919,144442.66763839053
5b6ff892f6,E01001905,88266.15062449404
5b6ff892f6,E01001918,104905.73503452101
5b6ff892f6,E01001904,95770.3227338872
5b6ff892f6,E01001902,72724.71289895092
5b6ff892f6,E01001917,107231.17694796956
5b6ff892f6,E01002840,85599.98847859404
5b6ff892f6,E01002845,71101.98170299066
5b6ff892f6,E01002844,122978.62237619705
5b6ff892f6,E01002911,121621.78409182857
5b6ff892f6,E01002900,131032.56497965801
5b6ff892f6,E01002899,71079.26866624175
5b6ff892f6,E01002843,65452.521491470055
5b6ff892f6,E01001882,81740.5265797257
5b6ff892f6,E01001920,148265.06822837115
5b6ff892f6,E01002842,16954.188957906095
5b6ff892f6,E01002913,107758.3605745929
5b6ff892f6,E01001879,80604.30577824761
5b6ff892f6,E01001881,110726.69363904945
5b6ff892f6,E01001880,112257.16050763223
5b6ff892f6,E01001885,56892.182429522734
5b6ff892f6,E01002897,54233.51146607739
5b6ff892f6,E01004276,77551.04747683908
5b6ff892f6,E01004739,28712.943579656912
5b6ff892f6,E01004738,83991.8229296513
5b6ff892f6,E01004737,81160.93445327244
5b6ff892f6,E01004742,46686.353751441726
5b6ff892f6,E01002693,38.61838524923887
5b6ff892f6,E01002692,11580.980617668918
5b6ff892f6,E01001380,107660.53184628586
5b6ff892f6,E01002691,72168.71134586955
5b6ff892f6,E01001199,104982.35098908552
5b6ff892f6,E01001197,256248.4944870954
5b6ff892f6,E01001198,108400.10822527375
5b6ff892f6,E01001196,156876.18087788916
5b6ff892f6,E01001274,186007.0403116389
5b6ff892f6,E01001195,243194.48442557704
5b6ff892f6,E01001903,97891.4688424384
5b6ff892f6,E01001888,97208.6317235618
5b6ff892f6,E01001887,75558.30299651471
5b6ff892f6,E01001886,86297.40594703994
5b6ff892f6,E01002571,0.28948512564898043
5b6ff892f6,E01001891,153158.6118740421
5b6ff892f6,E01002912,113021.23889791257
5b6ff892f6,E01001884,82119.38323956382
5b6ff892f6,E01001883,101445.74508140584
5b6ff892f6,E01001909,86085.36180616923
5b6ff892f6,E01002893,65345.63763679891
5b6ff892f6,E01002896,115382.94683245092
5b6ff892f6,E01001912,91157.37784681957
5b6ff892f6,E01002895,107301.86008600809
5b6ff892f6,E01001908,45371.61031609922
5b6ff892f6,E01002894,56797.99230881185
5b6ff892f6,E01001913,93942.19814900834
5b6ff892f6,E01001890,124577.98411670314
5b6ff892f6,E01001892,58769.07864821885
5b6ff892f6,E01001910,61213.68517277528
5b6ff892f6,E01001889,89536.25309050191
5b6ff892f6,E01001893,79263.13725407206
5b6ff892f6,E01001900,125818.30146206648
5b6ff892f6,E01002575,624.0474876511284
5b6ff892f6,E01001911,120979.8903437598
5b6ff892f6,E01002846,94792.96590128964
5b6ff892f6,E01002838,71196.40399791286
5b6ff892f6,E01001914,56459.75759440585
5b6ff892f6,E01002898,128561.22315413844
5b6ff892f6,E01002837,63735.72150094461
5b6ff892f6,E01002849,64821.61742029087
5b6ff892f6,E01002848,65603.42992402661
5b6ff892f6,E01002847,68234.14286405728
5b6ff892f6,E01002836,73771.23628561183
5b6ff892f6,E01001933,169231.56462569325
5b6ff892f6,E01001894,146071.51445069973
5b6ff892f6,E01001872,66471.61127741114
5b6ff892f6,E01001867,79587.04133940137
5b6ff892f6,E01001932,171171.44678522155
5b6ff892f6,E01001871,129075.43678397492
5b6ff892f6,E01001899,117437.02341394947
5b6ff892f6,E01001898,282328.92178990453
5b6ff892f6,E01001931,63261.102650977955
5b6ff892f6,E01002834,60952.940901355636
5b6ff892f6,E01001870,84646.77334685376
5b6ff892f6,E01002851,60171.78277419045
5b6ff892f6,E01001868,58856.828851820705
5b6ff892f6,E01002850,72313.2134554004
5b6ff892f6,E01002835,149173.57376039156
5b6ff892f6,E01002839,64020.70860156707
5b6ff892f6,E01002814,137629.02493627658
5b6ff892f6,E01002815,64288.041013359776
5b6ff892f6,E01002888,78113.06598958619
5b6ff892f6,E01001866,142119.8906800891
5b6ff892f6,E01002574,11374.605655789914
5b6ff892f6,E01001869,229454.5939896616
5b6ff892f6,E01001929,86515.54964943537
5b6ff892f6,E01002573,6075.566630520567
5b6ff892f6,E01001897,95004.56695193831
5b6ff892f6,E01001928,145474.06501177014
5b6ff892f6,E01001873,62002.866399603474
5b6ff892f6,E01002867,93323.20681530738
5b6ff892f6,E01001930,178812.53402407523
5b6ff892f6,E01032572,158364.52621216764
5b6ff892f6,E01001377,187649.60612699424
5b6ff892f6,E01001379,131195.37184970232
5b6ff892f6,E01001374,126400.502135804
5b6ff892f6,E01001358,219942.27424096348
5b6ff892f6,E01001375,139775.7816485868
5b6ff892f6,E01001376,101800.9556470149
5b6ff892f6,E01001357,98090.41103513731
5b6ff892f6,E01002812,90160.47255038963
5b6ff892f6,E01002813,109919.9639453846
5b6ff892f6,E01002887,73785.30349358477
5b6ff892f6,E01002817,143087.32218582605
5b6ff892f6,E01002892,75278.64846209387
5b6ff892f6,E01002890,156840.1008850345
5b6ff892f6,E01002816,59326.14735607121
5b6ff892f6,E01002891,99093.44451818886
5b6ff892f6,E01002865,122417.66664608936
5b6ff892f6,E01002864,155904.0565948453
5b6ff892f6,E01004665,46507.74077549154
5b6ff892f6,E01004669,71139.38213713212
5b6ff892f6,E01002901,207781.33646929258
5b6ff892f6,E01033597,56261.10758801447
5b6ff892f6,E01004668,55377.243440507096
5b6ff892f6,E01002903,109840.92375865932
5b6ff892f6,E01002910,141617.25753528034
5b6ff892f6,E01033599,37544.28849257716
5b6ff892f6,E01002914,177206.096164744
5b6ff892f6,E01004753,59581.65563761287
5b6ff892f6,E01004667,129620.78378460999
5b6ff892f6,E01004752,35457.12376059284
