"uwwState","rptMStateKey","uwwID","uwwCode","uwwName","BODIncoming","CODIncoming","NIncoming","PIncoming","BODDischarge","CODDischarge","NDischarge","PDischarge","QA flag","Remark"
106,"DE",195530,"DETP_HE066340090601","Homberg (Efze)",,,47.752998352,7.8007998466,,,15.845000267,0.89384001493,"",""
106,"DE",195531,"DETP_HE066340100401","Jesberg",,,22.427000046,2.6264998913,,,1.3323999643,0.86480998993,"",""
106,"DE",195532,"DETP_HE066340110901","Knüllwald / Niederbeisheim",,,15.670000076,2.6215000153,,,4.1588001251,0.80948001146,"",""
106,"DE",195533,"DETP_HE066340111301","Knüllwald / Remsfeld",,,10.934000015,1.4929000139,,,0.97776997089,0.55721998215,"",""
106,"DE",195534,"DETP_HE066340111701","Knüllwald / Wallenstein",,,10.112000465,2.2039999962,,,3.3578000069,0.97232997417,"",""
106,"DE",195552,"DETP_HE066350030502","Bad Wildungen / Braunau",,,11.288000107,1.8686000109,,,1.3384000063,0.18814000487,"",""
106,"DE",194330,"DETP_NI254002202","2540022033 KA Delligsen",,,23.430999756,6.2343997955,,,1.1439000368,0.6619399786,"Y","for details on QA see  ""UWWTD_load data QAQC_summary table final"""
106,"DE",195527,"DETP_HE066340050201","Fritzlar",,,51.428001404,10.550999641,,,6.8605999947,1.1823999882,"",""
106,"DE",195572,"DETP_HE066350190101","Vöhl / Asel",,,9.269900322,1.1691999435,,,8.7271003723,0.50107997656,"",""
106,"DE",195563,"DETP_HE066350100501","Frankenau",,,16.611999512,2.4379999638,,,0.19728000462,0.05583300069,"",""
106,"DE",195564,"DETP_HE066350110201","Frankenberg (Eder)",,,85.348999023,20.100000381,,,22.88299942,2.7830998898,"",""
106,"DE",195519,"DETP_HE066330290501","Zierenberg / Oberelsungen",,,7.7862000465,1.4773000479,,,2.5827000141,0.12735000253,"",""
106,"DE",195566,"DETP_HE066350120201","Gemünden (Wohra)",,,15.94299984,3.1124000549,,,9.6944999695,1.722900033,"",""
106,"DE",195550,"DETP_HE066350010301","Allendorf (Eder) / Haine",,,38.275001526,10.236000061,,,5.5633001328,1.7803000212,"",""
