rptMStateKey,rptMStateValue,rptCulture,ReportNetEnvelopeFileId
CY,Cyprus,el-CY,28111
EE,Estonia,et_EE,28139
LV,Latvia,UTF-8,28256
BG,Bulgaria,en-GB,28828
AT,Austria,de-AT,28202
NL,Netherlands,nl-NL,27916
SK,Slovakia,UTF-8,27944
FI,Finland,fi_FI,27846
MT,Malta,en-MT,27899
IS,Iceland,is_IS,27848
SI,Slovenia,sl-SI,28934
BE,Belgium,fr_BE,28927
BE,Belgium,nl_BE,28927
HR,Croatia,hr-HR,28242
FR,France,fr-FR,28443
DE,,de-DE,28148
LU,Luxembourg,,27771
RO,Romania,ro-RO,28874
GR,Greece,el-GR,28024
DK,Denmark,DK201,28630
PT,Portugal,pt-PT,28666
IT,Italy,it-IT,28830
SE,Sweden,en-GB,28717
LT,Lithuania,,28748
HU,Hungary,hu-HU,28721
IE,Ireland,en_IE,28742
ES,Spain,es-ES,28773
PL,Poland,pl-PL,28518
CZ,Czech Republic,cs_CZ,28756
UK,United Kingdom,en-GB,28754
