rcaCode,rcaParameter,rcaDateDesignation,rcaStartDate,rcaCRelevantDirective,rcaCIDOtherDirective,rcaCDateOtherDirective,ReportNetEnvelopeFileId
SIRI-SI14102VT,aN,20010513,20081231,,,,28934
SIRI-SI14102VT,aP,20010513,20081231,,,,28934
SIRI-SI141VT1,aN,20010513,20081231,,,,28934
SIRI-SI141VT1,aP,20010513,20081231,,,,28934
SIRI-SI143VT,aN,20010513,20081231,,,,28934
SIRI-SI143VT,aP,20010513,20081231,,,,28934
SIRI-SI144VT1,aN,20010513,20081231,,,,28934
SIRI-SI144VT1,aP,20010513,20081231,,,,28934
SIRI-SI144VT2,aN,20010513,20081231,,,,28934
SIRI-SI144VT2,aP,20010513,20081231,,,,28934
SIRI-SI145VT,aN,20010513,20081231,,,,28934
SIRI-SI145VT,aP,20010513,20081231,,,,28934
SIRI-SI146VT,aN,20010513,20081231,,,,28934
SIRI-SI146VT,aP,20010513,20081231,,,,28934
SIRI-SI1476VT,aN,20090822,20160822,,,,28934
SIRI-SI1476VT,aP,20090822,20160822,,,,28934
SIRI-SI148VT3,aN,20090822,20160822,,,,28934
SIRI-SI148VT3,aP,20090822,20160822,,,,28934
SIRI-SI148VT5,aN,20090822,20160822,,,,28934
SIRI-SI148VT5,aP,20090822,20160822,,,,28934
SIRI-SI14912VT,aN,20090822,20160822,,,,28934
SIRI-SI14912VT,aP,20090822,20160822,,,,28934
SIRI-SI14VT77,aN,20090822,20160822,,,,28934
SIRI-SI14VT77,aP,20090822,20160822,,,,28934
SIRI-SI14VT93,aN,20090822,20160822,,,,28934
SIRI-SI14VT93,aP,20090822,20160822,,,,28934
SIRI-SI14VT97,aN,20090822,20160822,,,,28934
SIRI-SI14VT97,aP,20090822,20160822,,,,28934
SIRI-SI1616VT,aN,20090822,20160822,,,,28934
SIRI-SI1616VT,aP,20090822,20160822,,,,28934
SIRI-SI162VT3,aN,20090822,20160822,,,,28934
SIRI-SI162VT3,aP,20090822,20160822,,,,28934
SIRI-SI162VT7,aN,20090822,20160822,,,,28934
SIRI-SI162VT7,aP,20090822,20160822,,,,28934
SIRI-SI162VT9,aN,20090822,20160822,,,,28934
SIRI-SI162VT9,aP,20090822,20160822,,,,28934
SIRI-SI164VT3,aN,20090822,20160822,,,,28934
SIRI-SI164VT3,aP,20090822,20160822,,,,28934
SIRI-SI164VT7,aN,20090822,20160822,,,,28934
SIRI-SI164VT7,aP,20090822,20160822,,,,28934
SIRI-SI1688VT1,aN,20090822,20160822,,,,28934
SIRI-SI1688VT1,aP,20090822,20160822,,,,28934
SIRI-SI1688VT2,aN,20090822,20160822,,,,28934
