repCode,ReportNetEnvelopeFileId,repReportedPeriod,repReportPeriodID,repSituationAt,repVersion,rptMStateKey,repReferenceSystem
CY 2017 Art.15,28111,2016,3010,20161231,20180720,CY,WGS-84
EE2018,28139,2016,3011,20161231,20180625,EE,WGS-84
LV006,28256,2016,3014,20161231,20180820,LV,WGS-84
BG2018,28828,2016,3015,20161231,20190212,BG,ETRS89
AT_UWWTD_2017_2,28202,2016,3017,20161231,20180806,AT,ETRS89
NL2018,27916,2016,3019,20161231,20180604,NL,ETRS89
SK6,27944,2016,3020,20161231,20180709,SK,WGS-84
FI2016,27846,2016,3021,20161231,20180629,FI,WGS-84
MT,27899,2016,3022,20161231,20180630,MT,ETRS89
IS,27848,2016,3023,20171231,20180629,IS,
SI-2018,28934,2016,3025,20161231,20180626,SI,ETRS89
BE-2016,28927,2016,3026,20161231,20190129,BE,ETRS89
HR_Art15_2016,28242,2016,3028,20161231,20180723,HR,ETRS89
FR2016,28443,2016,3029,20161231,20180621,FR,WGS-84
DE_UWWT_2016,28148,2016,3030,20161231,20180726,DE,WGS-84
LU100,27771,2016,3031,20161231,20180413,LU,ETRS89
RO06,28874,2016,3032,20161231,20180719,RO,ETRS89
EL_UWWTD_2018,28024,2016,3034,20161231,20180630,EL,ETRS89
DK2016,28630,2016,3037,20161231,20180619,DK,WGS-84
PT_2016,28666,2016,3039,20161231,20180618,PT,WGS-84
IT006,28830,2016,3045,20141231,20170127,IT,ETRS89
SE369,28717,2016,3046,20161231,20180618,SE,ETRS89
LT-2016,28748,2016,3047,20161231,20180719,LT,WGS-84
HU-91271CQ-2018k,28721,2016,3049,20161231,20180715,HU,WGS-84
IE2016,28742,2016,3050,20161231,20180430,IE,ETRS89
1,28773,2016,3051,20161231,20180630,ES,ETRS89 + WGS-84
PL01,28518,2016,3052,20161231,20180727,PL,WGS-84
259,28756,2016,3053,20161231,20180626,CZ,ETRS89
UK5,28754,2016,3054,20161231,20180710,UK,ETRS89
