"repID","rptID","rptMStateKey","repCode","repVersion","repSituationAt","repReportedPeriod"
258,4,"EE","EE",,2012-12-31,"2012"
260,26,"CZ","25",2014-02-03,2012-12-31,"2012"
269,10,"LU","LU",,2012-12-31,"2012"
277,2,"BE","BE",,2012-12-31,"2012"
310,22,"BG","BG",2014-04-23,2012-12-31,"2012"
323,14,"SE","SE",,2012-12-31,"2012"
333,28,"NO","NO",,2011-12-31,"2011"
393,6,"FR","FR",,2012-12-31,"2012"
395,25,"IE","IE",,2012-12-31,"2012"
411,9,"LT","LT",2014-05-27,2011-12-31,"2011"
418,17,"CY","CY",,2011-12-31,"2011"
428,8,"LV","LV",,2012-12-31,"2012"
439,11,"NL","NL",,2012-12-31,"2012"
445,12,"PT","PT",2014-05-30,2012-12-31,"2012"
470,1,"AT","AT",,2012-12-31,"2012"
477,7,"HU","HU",2014-06-02,2011-12-31,"2011"
483,30,"HR","HR",,2012-12-31,"2012"
487,16,"SI","SI",2014-06-19,2012-12-31,"2012"
495,19,"MT","MT",,2012-12-31,"2012"
498,13,"RO","RO",,2012-12-31,"2012"
507,3,"DE","DE",2014-06-30,2012-12-31,"2012"
512,5,"FI","FI",,2012-12-31,"2012"
520,20,"ES","ES",,2012-12-31,"2012"
522,29,"CH","CH",2014-08-27,2012-12-31,"2012"
545,27,"GR","GR",,2012-12-31,"2012"
549,23,"UK","UK",2014-11-13,2012-12-31,"2012"
550,21,"PL","PL",2014-12-05,2012-12-31,"2012"
552,18,"DK","DK",,2012-12-31,"2012"
553,24,"IT","IT",2014-10-15,2012-12-31,"2012"
554,15,"SK","SK",2013-11-21,2012-12-31,"2012"
