uwwState,rptMStateKey,uwwCode,uwwName,uwwBODIncoming,uwwCODIncoming,uwwNIncoming,uwwPIncoming,uwwBODDischarge,uwwCODDischarge,uwwNDischarge,uwwPDischarge,QAflag,Remark,ReportNetEnvelopeFileId
0,BE,BERW_CS_06096,BASSENGE,,,,,,,,, , ,48404
0,BE,BERW2502301,BOUSVAL,,,,,,,,, , ,48404
0,BE,BERW_CS_06003,CHAUDFONTAINE,,,,,,,,, , ,48404
0,BE,BERW6210008,COMBLAIN-AU-PONT,,,,,,,,, , ,48404
0,BE,BERW_CS_06077,COMBLAIN-AU-PONT,,,,,,,,, , ,48404
0,BE,BERW6210801,DALHEM,,,,,,,,, , ,48404
0,BE,BERW_CS_06041,DALHEM,,,,,,,,, , ,48404
0,BE,BERW6203203,FONTIN,,,,,,,,, , ,48404
0,BE,BERW5601603,FORGES,,,,,,,,, , ,48404
0,BE,BERW6402501,FRELOUX,,,,,,,,, , ,48404
0,BE,BERW5708102,FROIDMONT,,,,,,,,, , ,48404
0,BE,BERW9214203,GRAND-LEEZ,,,,,,,,, , ,48404
0,BE,BERW_CS_09060,GRAND-LEEZ,,,,,,,,, , ,48404
0,BE,BERW_CS_09068,HASTIERE,,,,,,,,, , ,48404
0,BE,BERW9114202,HASTIERE HERMETON,,,,,,,,, , ,48404
0,BE,BERW5608502,HAULCHAIN,,,,,,,,, , ,48404
0,BE,BERW_CS_06027,HOGNOUL,,,,,,,,, , ,48404
0,BE,BERW6103901,LILOT,,,,,,,,, , ,48404
0,BE,BERW5504002,NEUFVILLES,,,,,,,,, , ,48404
0,BE,BERW2510504,OISQUERCQ,,,,,,,,, , ,48404
0,BE,BERW5708109,TEMPLEUVE SUD,,,,,,,,, , ,48404
0,BE,BERW6200603,VILLERS-L'EVEQUE,,,,,,,,, , ,48404
0,BE,BERW6308001,WAIMES,,,,,,,,, , ,48404
0,BE,BERW_CS_06094,WAIMES,,,,,,,,, , ,48404
0,BE,BERW9203509,WARET-LA-CHAUSSEE,,,,,,,,, , ,48404
0,BE,BERW6201101,WONCK,,,,,,,,, , ,48404
0,BE,BERW9114203,HEER-AGIMONT,,,,,,,,, , ,48404
0,BE,BERW5100402,MAFFLE,,,,,,,,, , ,48404
0,BE,BERW2501404,LILLOIS,,,,,,,,, , ,48404
0,BE,BERW_CS_02007,LILLOIS-WITTERZEE,,,,,,,,, , ,48404
1,BE,BERW5207402,TAILLANDIER,,,,,,,,, , ,48404
0,BE,BERW_CS_05119,PRESLES,,,,,,,,, , ,48404
0,BE,BERW5500406,HENNUYERES (Champs de L'Epine),,,,,,,,, , ,48404
