ReportNetEnvelopeFileId,flarepCode,soecCapacity,soecCode,soecEndYear,soecEUFunds,soecInvCol,soecInvIAS,soecInvTp,soecJobs,soecLenghtCoCs,soecLenghtSaCs,soecLenghtStCs,soecNumbIAS,soecOpCosts,soecPeriod,soecPop,soecStartYear,soecInvComments
47819,AT_UWWTD_2019_1,22095325,ATUWWINV2020,20201231,,210,,43,,,,,,,EXP,,20200101,"Die Daten für das Jahr 2020 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
47819,AT_UWWTD_2019_1,22155725,ATUWWINV2022,20221231,,218,,38,,,,,,,EXP,,20220101,"Die Daten für das Jahr 2022 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
47819,AT_UWWTD_2019_1,22216125,ATUWWINV2024,20241231,,222,,44,,,,,,,EXP,,20240101,"Die Daten für das Jahr 2024 stammen aus der Berechnung der Kommunalkredit Austria, die im Zuge der Studie ""Zukünftiger dezentraler Infrastrukturbedarf in Österreich"" (Institut für Höhere Studien, 2018, verfügbar unter: https://irihs.ihs.ac.at/id/eprint/4666/)  erstellt wurde"
48178,CY 2019 Art.17,1589332,CYUWWINV2023,20231231,0,0,,0,,,,,,,EXP,,20230101,-
48178,CY 2019 Art.17,1597032,CYUWWINV2024,20241231,0,9.47,,12.8,,,,,,,EXP,,20240101,"million euros, VAT included, Reference Date (06/2020)"
48178,CY 2019 Art.17,1650932,CYUWWINV2025,20251231,0,13.75,,32.46,,,,,,,EXP,,20250101,"million euros, VAT included, Reference Date (06/2020)"
48178,CY 2019 Art.17,1650932,CYUWWINV2026,20261231,0,93.81,,0,,,,,,,EXP,,20260101,"million euros, VAT included, Reference Date (06/2020)"
48199,DK2018,11307100,DKUWWIN2014,20141231,,533,,266,,,,,,,CU,,20140101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
48178,CY 2019 Art.17,1690632,CYUWWINV2027,20271231,0,86.37,,14.89,,,,,,,EXP,,20270101,"million euros, VAT included, Reference Date (06/2020)"
48178,CY 2019 Art.17,1690632,CYUWWINV2028,20281231,0,0,,0,,,,,,,EXP,,20280101,-
48178,CY 2019 Art.17,1690632,CYUWWINV2029,20291231,0,71.07,,0,,,,,,,EXP,,20290101,"million euros, VAT included, Reference Date (06/2020)"
48364,NL2020,21800000,NLUWWINV2014,20141231,,1102,,220,,,,,,1663,P,16830000,20140101,"InvCol: Prijspeil 2012_exclusief BTW / InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 618 (exclusief BTW, prijspeil 2012 ) + rwzi's 1,045 (lopende prijzen inclusief BTW)"
48364,NL2020,21800000,NLUWWINV2021-2025,20251231,,3897,,2235,,,,,,,EXP,,20210101,
48561,DE_UWWT_2018,151814295,DEUWWINV2018,20181231,,2637,,1265,,,,,,,CU,,20180101,"soecCapicity: Betrifft derzeitige Ausbaugröße (Bemessungskapazität gemäß Genehmigungsbescheid) bezogen auf öffentliche Abwasserbehandlungsanlagen ab mindestens 50 EW (p.e.) Ausbaugröße; Datenquelle: Statistisches Bundesamt (Fachserie 19 Reihe 2.1.2) 2016; Erhebung alle 3 Jahre; soecInVCol und soecTp: wirtschaftliche Kennzahlen, darunter auch Investitionszahlen für den Bereich Abwasserentsorgung werden separat im Rahmen der Statistik des produzierenden Gewerbes (Fachserie 4 Reihe 6.1) jährlich seit 2008 vom Statistischen Bundesamt erhoben und publiziert. Die Berichte erscheinen frühestens 18 Monate nach Ablauf des Berichtzeitraumes. Vorher waren die Informationen unter """"Energie- und Wasserversorgung"""" subsumiert und daher nicht separat ausweisbar. Die Erhebungspflicht besteht für Unternehmen der Abwasserentsorgung, die eine jährliche Schmutzwassermenge von 200.000 m³ und mehr behandeln. Dies deckt sich in etwa mit dem Geltungsbereich der Kommunalabwasserrichtlinie. Ein wichtiges Ergebnis dieser Erhebung sind die getätigten Investitionen. Den größten Anteil bei den Investitionen haben die Investitionen in technische Anlagen und Maschinen. Diese werden in der Statistik separat ausgewiesen. Davon werden u.a. Investitionen in Leitungs- und Rohrnetz (Tabelle 2.6) separat ausgewiesen und hier als Investitionen in Kanalnetz angenommen. Die Angaben zu Investitionen in Anlagen ergeben sich aus der Differenz der Investitionen in technische Anlagen und Maschinen und in Kanalnetz(Tabelle 2.5). Zahlen zu geplanten Investitionen werden nicht erhoben und liegen daher nicht vor."
49034,ES,23768088,ESUWWINV2015,20151231,45.7,237.2,5.7,589.4,,0,0,,,38.7,EXP,,20150101,
49034,ES,23768088,ESUWWINV2016,20161231,43.9,107.6,5.2,633.4,,0,0,,,90.8,EXP,,20160101,
49034,ES,23768088,ESUWWINV2017,20171231,56,170.2,5.2,800.2,,0,0,,,91.5,EXP,,20170101,
49034,ES,23768088,ESUWWINV2018,20181231,69.2,242.2,5.7,968.5,,0,0,,,104.1,EXP,,20180101,
48957,BG2020,883802,BGUWWINV2019_2020,20201231,62.09,16.93,,56.63,,,,,,,CU,,20170101,
48957,BG2020,2195356,BGUWWINV2021_2023,20231231,252.05,184.9,,112.65,,,,,,,EXP,,20210101,
48957,BG2020,1772158,BGUWWINV2024_2030,20301231,477.07,2028.386,,574.56,,,,,,,EXP,,20240101,
49034,ES,23768088,ESUWWINV2023,20231231,29.2,184.2,5.4,355.2,,0,0,,,11.2,EXP,,20230101,
48364,NL2020,,NLUWWINV2019,20191231,,885,,324,,,,,,1610,CU,17280000,20190101,InvCol en InvTp: lopende prijzen inclusief BTW / OpCosts: riolering 502 + rwzi's 1108 (lopende prijzen inclusief BTW)
49199,RO07,1458450,ROUWWINV2012_2016,20161231,1175.946622,516.886,0,146.099,0,10533.1985,6705.328,5651.76,2007,625.9336692,P,1275614,20120101,"Amount of investment whether VAT not included. Cost measures for sewerage networks, waste water treatment and waste management measures. Other taxes included: technical assistance for designing surveillance works, financial audit service projects, pumping stations, evacuation pipelines, waste collection, pipeline bypass pipes to the treatment plant."
49199,RO07,1729205,ROUWWINV2017_2018,20181231,1043.033522,396.202,0,41.885,0,9889.32038,6684.9151,6218.01975,9345,146.1305854,CU,1950868,20170101,"Amount of investment whether VAT not included. Cost measures for sewerage networks, waste water treatment and waste management measures. Other taxes included: technical assistance for designing surveillance works, financial audit service projects, pumping stations, evacuation pipelines, waste collection, pipeline bypass pipes to the treatment plant."
49199,RO07,16230976,ROUWWINV2019_2023,20231231,2233.17641,2013.253,0,836.611,0,12028.90574,19187.73005,9909.20709,26981,452.726177,EXP,6753996,20190101,"Amount of investment whether VAT not included. Cost measures for sewerage networks, waste water treatment and waste management measures. Other taxes included: technical assistance for designing surveillance works, financial audit service projects, pumping stations, evacuation pipelines, waste collection, pipeline bypass pipes to the treatment plant."
48197,LV007,2249163,LVUWWINV2010_2014,20141231,,127.13,,50.44,,,,,,,P,,20100101,
48275,BE-1,15000,BEUWWINVBOTENREUKEN2020_2022,20221231,,6.5,,0,,,,,,,CU,,20200101,Brussels Region: building new Storm Basin Ten Reuken - VAT not included
48275,BE-1,15000,BEUWWINVBOMOL2021_2026,20261231,,54,,0,,,,,,,EXP,,20210101,Brussels Region: building new Storm Basin Molenbeek - VAT not included
47939,SE369,13863377,SEUWWINV2018,20181231,,200,,2097,,,,,,,CU,,20180101,"Unit: Million EUR, 
estimated investment costs, VAT not included. Data collected through a national survey with approximately 50 % respondants on the questions concerning investment costs. No extrapolation has been made to estimate costs of non-respondants. The organic design capacity is the value from the 11th reporting of the UWWTD´s Article 15."
47939,SE369,13863377,SEUWWINV2019,20191231,,226,,378,,,,,,,EXP,,20190101,"Unit: Million EUR, estimated investment costs, 
VAT not included. Data collected through a national survey with approximately 50 % respondants on the questions concerning investment costs. No extrapolation has been made to estimate costs of non-respondants. The organic design capacity is the value from the 11th reporting of the UWWTD´s Article 15."
47939,SE369,13863377,SEUWWINV2020_2025,20251231,0.2,1045,,1041,,,,,,,EXP,,20200101,"Unit: Million EUR, estimated investment costs, 
VAT not included. Data collected through a national survey with approximately 50 % respondants on the questions concerning investment costs. No extrapolation has been made to estimate costs of non-respondants. The organic design capacity is the value from the 11th reporting of the UWWTD´s Article 15."
48032,EL_UWWTD_2020,150045217,EL_UWWTD_2020,20271231,1672.0843,1319.3936,,695.4716,,,,,,,EXP,,20160101,"The VAT is not icluded. 
The investment's amount includes  the investments
for the not compliant situations and also the needs for renovation and  maintainance of the
performance of the whole system."
49034,ES,23768088,ESUWWINV2025,20251231,29.2,184.2,5.4,355.2,,0,0,,,11.2,EXP,,20250101,
49034,ES,23768088,ESUWWINV2026,20261231,29.2,184.2,5.4,355.2,,0,0,,,11.2,EXP,,20260101,
49034,ES,23768088,ESUWWINV2027,20271231,29.2,184.2,5.4,355.2,,0,0,,,11.2,EXP,,20270101,
49034,ES,23768088,ESUWWINV2028,20281231,5,75.5,,18.1,,0,0,,,0.8,EXP,,20280101,
48197,LV007,2249163,LVUWWINV2015_2016,20161231,,102.55,,10.08,,,,,,,CU,,20150101,
48197,LV007,2249163,LVUWWINV2016_2022,20221231,102.562507,147.479438,,0,,,,,,,EXP,,20160101,"Investment planning for 2021-2027 is ongoing, decisions are not made yet."
48199,DK2018,11436238,DKUWWIN2018,20181231,,457,,228,,,,,,,CU,,20180101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
48890,UK,104493348,UKUWWIN2012_2018,20181231,,4656.53,,2639.29,,,,,,,P,,20120101,Euro conversion rate £1=1.11 Euro
48890,UK,104815153,UKUWWIN2019_2020,20201231,,1482.86,,707.66,,,,,,,Cu,,20190101,Euro conversion rate £1=1.11 Euro
48890,UK,105706149,UKUWWIN2021_2025,20251231,,3412.82,,2229.96,,,,,,,Exp,,20210101,Euro conversion rate £1=1.11 Euro. No SR21 UWWTD enhancement allowance currently
49034,ES,23768088,ESUWWINV2024,20241231,29.2,184.2,5.4,355.2,,0,0,,,11.2,EXP,,20240101,
47943,Lt_2018_Art_17,3495748,LTUWWINV2014_2019,20191231,128.1215045,151.4183242,,41.46944994,,,,,,,P,,20140101,"PVM neįskaičiuotas; įskaičiuota 2014-2020 ES fondų lėšomis finansuojama nuotekų tinklų plėtra, NVĮ rekonstrukcija/statyba, dumblo tvarkymo priemonės"
47943,Lt_2018_Art_17,3525748,LTUWWINV2020_2023,20231231,58.80547283,33.94047261,,41.24079368,,,,,,,EXP,,20200101,PVM neįskaičiuotas; įskaičiuota 2014-2020 Vandentvarkos fondo ir 2 NVĮ investicijos
47813,FI2018ART17,6700000,FIUWWINV2016,20161231,,316,,50,,,,,,275,P,5495000,20160101,
47813,FI2018ART17,6800000,FIUWWINV2017,20171231,,320,,55,,,,,,278,P,5513000,20170101,
47813,FI2018ART17,6900000,FIUWWINV2018,20181231,,325,,55,,,,,,279,P,5520000,20180101,
47813,FI2018ART17,7000000,FIUWWINV2019,20191231,,329,,55,,,,,,279,P,5525000,20190101,
47813,FI2018ART17,7100000,FIUWWINV2020,20201231,,334,,55,,,,,,279,CU,5528000,20200101,
47813,FI2018ART17,7200000,FIUWWINV2021,20211231,,338,,55,,,,,,279,EXP,5528000,20210101,
47813,FI2018ART17,7300000,FIUWWINV2022,20221231,,343,,55,,,,,,279,EXP,5528000,20220101,
47813,FI2018ART17,7300000,FIUWWINV2023,20231231,,349,,55,,,,,,279,EXP,5528000,20230101,
47813,FI2018ART17,7300000,FIUWWINV2024,20241231,,356,,55,,,,,,279,EXP,5528000,20240101,
49199,RO07,4349925,ROUWWINV2024_2027,20271231,1084.088084,2523.263,0,1078.169,0,10019.21946,14119.32493,8223.05374,4908,456.7697894,EXP,4033913,20190101,"Amount of investment whether VAT not included. Cost measures for sewerage networks, waste water treatment and waste management measures. Other taxes included: technical assistance for designing surveillance works, financial audit service projects, pumping stations, evacuation pipelines, waste collection, pipeline bypass pipes to the treatment plant."
48199,DK2018,11436238,DKUWWIN2020,20201231,,457,,228,,,,,,,EXP,,20200101,the division between collection systems and tretmentplant are unknown and ar estimatetet to 2/3 and 1/3
48616,SI_2018_Art_17,2444000,SIUWWINV2006_2012,20121231,,412,,264,,,,,,,P,,20060101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2465000,SIUWWINV2013,20131231,,57,,25,,,,,,,P,,20130101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2495000,SIUWWINV2014,20141231,,100,,63,,,,,,,P,,20140101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2509000,SIUWWINV2015,20151231,,115,,94,,,,,,,P,,20150101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2651000,SIUWWINV2016,20161231,18,33,,15,,,,,,,P,,20160101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2677000,SIUWWINV2017,20171231,20,54,,8,,,,,,,P,,20170101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2681000,SIUWWINV2018,20181231,28,65,,20,,,,,,,P,,20180101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2681000,SIUWWINV2019,20191231,38,78,,35,,,,,,,CU,,20190101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2681000,SIUWWINV2020,20201231,32,75,,15,,,,,,,CU,,20200101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2681000,SIUWWINV2021,20211231,13,32,,5,,,,,,,EXP,,20210101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2681000,SIUWWINV2022,20221231,8,14,,3,,,,,,,EXP,,20220101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_17,2681000,SIUWWINV2023,20231231,6,11,,1.5,,,,,,,EXP,,20230101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_18,2681000,SIUWWINV2024,20241231,5,7,,2,,,,,,,EXP,,20240101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
48616,SI_2018_Art_19,3288000,SIUWWINV2025_2030,20301231,6,12,,5,,,,,,,EXP,,20250101,"ocena-tekoče cene, davek na dodano vrednost ni vključen"
