rcaCode,rcaRelatedSA,rcaRelatedSARemark,ReportNetEnvelopeFileId
IECM_SW_2001_0032,IETW_SW_2001_0032,,49552
IECM_EA_1994_0001,IERI_EA_1994_0001,,49552
IECM_SH_1994_0007,IELK_SH_1994_0007,,49552
IECM_SH_2010_0002,IERI_SH_2010_0002,,49552
IECM_SW_2004_0041,IETW_SW_2004_0041,,49552
IECM_SE_2001_0015,IERI_SE_2001_0015,,49552
IECM_EA_2001_0026,IETW_EA_2001_0026,,49552
CYSA_CM1,CYSA-LK1,The catchment of SA is defined as the part of  the Garyllis river catchment from the Vati area to Polemidia Dam.The SA is a part of the catchment of SA.,48299
SECM002,SECA002,"Catchment to sensivite area, southern coast of Sweden (SECA002)",47795
SECM001,SECA001,"Catchment to Sensivite area, northern coast of Sweden (SECA001)",47795
NORCA20,NORCA01,The freshwater catchments around the fjord,49055
NORCA17,NORCA02,"A large freshwater catchment, except some sensitive areas, that drains to this sea ",49055
NORCA19,NORCA03,The small freshwater catchments around the fjord,49055
FRSA_CM_01214,FRSA_RI_01214,,47935
FRSA_CM_01215,FRSA_RI_01215,,47935
FRSA_CM_01216,FRSA_RI_01216,,47935
FRSA_CM_02019,FRSA_RI_02019,,47935
FRSA_CM_02020,FRSA_RI_02020,,47935
FRSA_CM_02021,FRSA_RI_02021,,47935
FRSA_CM_02022,FRSA_RI_02022,,47935
FRSA_CM_03202,FRSA_RI_03202,,47935
FRSA_CM_03203,FRSA_RI_03203,,47935
FRSA_CM_03203,FRSA_CA_03206,,47935
FRSA_CM_03204,FRSA_RI_03204,,47935
FRSA_CM_03205,FRSA_RI_03205,,47935
FRSA_CM_03207,FRSA_RI_03207,,47935
FRSA_CM_03208,FRSA_RI_03208,,47935
FRSA_CM_03209,FRSA_RI_03209,,47935
FRSA_CM_04201,FRSA_RI_04201,,47935
FRSA_CM_04202,FRSA_RI_04202,,47935
FRSA_CM_04203,FRSA_RI_04203,,47935
FRSA_CM_04204,FRSA_RI_04204,,47935
FRSA_CM_04205,FRSA_RI_04205,,47935
FRSA_CM_04206,FRSA_RI_04206,,47935
FRSA_CM_04207,FRSA_RI_04207,,47935
FRSA_CM_04208,FRSA_RI_04208,,47935
FRSA_CM_04209,FRSA_RI_04209,,47935
FRSA_CM_04210,FRSA_RI_04210,,47935
FRSA_CM_04211,FRSA_RI_04211,,47935
FRSA_CM_04212,FRSA_RI_04212,,47935
FRSA_CM_04213,FRSA_RI_04213,,47935
FRSA_CM_04214,FRSA_RI_04214,,47935
FRSA_CM_04214,FRSA_CA_04223,,47935
FRSA_CM_04217,FRSA_RI_04217,,47935
FRSA_CM_04218,FRSA_RI_04218,,47935
FRSA_CM_04219,FRSA_RI_04219,,47935
FRSA_CM_04220,FRSA_RI_04220,,47935
FRSA_CM_04221,FRSA_RI_04221,,47935
FRSA_CM_04222,FRSA_RI_04222,,47935
FRSA_CM_05001,FRSA_RI_05001,,47935
FRSA_CM_05002,FRSA_RI_05002,,47935
FRSA_CM_05003,FRSA_RI_05003,,47935
FRSA_CM_05004,FRSA_RI_05004,,47935
FRSA_CM_05005,FRSA_RI_05005,,47935
FRSA_CM_05006,FRSA_RI_05006,,47935
FRSA_CM_05007,FRSA_RI_05007,,47935
FRSA_CM_05008,FRSA_RI_05008,,47935
FRSA_CM_05009,FRSA_RI_05009,,47935
FRSA_CM_05009,FRSA_CA_05009,,47935
FRSA_CM_05010,FRSA_RI_05010,,47935
FRSA_CM_05011,FRSA_RI_05011,,47935
FRSA_CM_05012,FRSA_RI_05012,,47935
FRSA_CM_05013,FRSA_RI_05013,,47935
FRSA_CM_05014,FRSA_RI_05014,,47935
FRSA_CM_05015,FRSA_RI_05015,,47935
